date,ticker,result,return_pct,volume_ratio,total_value,avg_price,strike,expiration,expiry_actual,expiry_close,call_premium,put_premium,total_premium,dte_actual
2026-03-20,MOH,LOSS,-44.4,3.7,934063732.6256586,139.4976326037874,140,2026-04-17,2026-04-17,148.97,8.55,7.57,16.13,28
2026-03-20,PAYC,LOSS,-86.4,3.78,779879985.513318,124.88408181315363,125,2026-04-17,2026-04-17,126.93,6.93,7.3,14.24,28
2026-03-20,BAH,LOSS,-76,3.26,446967158.35715526,80.04787435915003,80,2026-04-17,2026-04-17,81.77,4.01,3.35,7.37,28
2026-03-20,UNM,WIN,36,3.18,321520653.63748807,72.55537461724434,72.5,2026-04-17,2026-04-17,79.63,2.95,2.29,5.24,28
2026-03-20,CINF,LOSS,-17.5,3.34,281035862.73851496,158.3487085175184,160,2026-04-17,2026-04-17,166.82,2.81,5.46,8.27,28
2026-03-20,SITM,WIN,159.6,3.78,404525362.96583605,326.3282930799636,330,2026-04-17,2026-04-17,503.63,46.93,19.95,66.88,28
2026-03-30,SYY,WIN,64.8,3.5,786797863.5263873,70.84609935484559,70,2026-04-17,2026-04-17,76.27,2.07,1.73,3.8,18
2026-04-01,RH,LOSS,-23.7,3.04,426552519.47497064,109.69959884850708,115,2026-05-01,2026-05-01,129.97,8.14,11.48,19.62,30
2026-04-01,TD,WIN,186.5,3.07,299109006.21969295,94.66062015862153,95,2026-04-17,2026-04-17,105.35,1.16,2.46,3.61,16
2026-04-06,SLNO,LOSS,-7.4,3.39,1319886962.9917934,52.277150571752806,50,2026-05-15,2026-05-15,53.01,2.93,0.33,3.25,39
2026-04-06,BNS,WIN,84.4,3.06,480286811.59487987,70.08106040456981,70,2026-05-15,2026-05-15,77.08,1.89,1.95,3.84,39
2026-04-08,CASY,WIN,65.9,3.59,4286119438.086361,758.0055138830626,760,2026-05-15,2026-05-15,852.75,22.85,33.05,55.9,37
2026-04-13,RVMD,LOSS,-39.5,3.74,924944796.0776267,132.95696782488346,135,2026-05-15,2026-05-15,145.66,7.9,9.72,17.62,32
